Cluster	Size	Density	Internal weight	External weight	Quality	P-value	Members	FDR PS proteins	Frac PS proteins	Entry	Gene Name	Label	mean_SaPS	mean_PdPS	Early	Late	Invariable	G3BP1_mean_cossim
277	191	0.3	5444	7175	0.4187	0	Q53T94 P62829 O43159 P61313 Q68D10 O15479 P60866 P27635 P18077 Q8WYQ5 Q9ULW3 Q9NZM5 Q13574 P46781 P42696 P61513 Q9Y3U8 P46779 P62277 Q96MF4 Q9NR30 O75607 Q9NRW3 Q07020 P40429 P50914 O75569 P05388 Q96FI4 P39023 Q9GZR2 P26373 P62888 P35268 P62424 P62917 P42766 Q13247 P78362 Q9UFB7 Q8TDD1 P62913 Q9HAN9 O15213 P51608 Q9NX58 P62241 Q1ED39 Q9BQG0 Q9H0A0 Q99848 Q76FK4 Q96ME7 Q13823 Q14692 Q15050 O76021 Q5SSJ5 Q5VWQ0 Q49A26 P46087 O96028 O15381 Q9Y3T9 Q5JTH9 Q8TDN6 Q00839 Q9BWF3 P62899 P62847 P62753 P06748 Q6ZN17 P61247 P62249 P39019 P84098 P23396 Q92913 P15880 P36578 P16401 P16402 Q7Z2W4 O60287 P62906 Q9UNX3 P0C5Z0 Q9P031 P23352 Q12906 P46776 P46778 Q02543 Q15397 Q96GQ7 Q9P2E9 Q9Y221 Q9UPE1 P32969 Q96MX3 P46777 Q02878 P49207 P62244 P62266 P62263 O60832 Q9NW13 Q9NY93 Q03701 Q9NVP1 Q9BZE4 Q14690 Q9GZR7 Q8WTT2 P18621 P62701 P42677 Q9H8H2 Q8NB50 Q8IY81 P60228 Q14152 Q86V59 P62854 Q15361 O76094 Q96K58 Q9Y4C8 Q96FK6 Q969Q0 P62851 Q15573 Q15572 Q14146 Q71F23 P61254 P62081 P46782 P05387 O95793 P30050 P22492 Q9H116 P17026 Q6IQ21 P62750 Q13243 Q9NUL3 P78563 Q9H5J8 P16403 Q9BRT6 Q8TBF4 O95478 P05386 Q6PK04 P46783 Q9H6S0 O75683 P62841 Q13601 P62910 P57071 Q9H7B2 Q00577 Q8N8A6 Q9NQ55 Q96G21 Q9BXY0 P18124 P08865 Q5VYS8 Q14512 P11487 P62280 P61353 Q6DKI1 Q92901 O00566 P63173 P25398 P83731 Q8IZA3 P62633 Q9H9Y2 P62269 P62861 Q96L21 Q5JNZ5	9.97E-51	0.759162304	Q5SSJ5	HP1BP3	HP1BP3_1(191)	0.469406316	0.629710637	0.361256545	0.015706806	0.031413613	0.653888354
308	14	0.3064	27.88	311.9	0.0758	0.99969	Q32P51 P35637 Q86Y13 P31943 P52597 P52272 B1ATL7 Q99990 P55795 P22626 P51991 Q92804 P31942 Q13151	0.000626017	0.785714286	P22626	HNRNPA2B1	HNRNPA2B1(14)	0.759923062	0.774339065	0.642857143	0	0	0.698730516
374	16	0.3598	43.17	198.7	0.1576	0.953244	O75821 O15372 P60842 O00303 O15371 Q9Y262 Q7L2H7 P55010 P55884 Q99613 Q13347 Q49MI3 Q9NZM3 B5ME19 Q9UBQ5 P41567	0.049114013	0.5625	O75821	EIF3G	EIF3G(16)	0.495707083	0.549202784	0	0.3125	0.1875	0.515445398
411	6	0.3726	5.589	67.84	0.06543	0.98988	Q8NCA5 Q8WWM7 Q99700 Q3MHD2 P00813 Q9BUT9	0.195282215	0.666666667	Q8WWM7	ATXN2L	ATXN2L(6)	0.64229802	0.613376503	0.166666667	0	0.333333333	0.646075153
488	16	0.3041	36.49	287.6	0.1025	0.999965	Q15424 Q14151 O14979 P35637 P52272 Q13470 P55795 P22626 P51991 Q92804 Q9UH17 Q07666 Q8IXT5 Q9BUJ2 P31942 Q13151	5.14E-07	0.9375	P22626	HNRNPA2B1	HNRNPA2B1_1(16)	0.848725778	0.828685114	0.625	0	0	0.703754233
590	12	0.3044	20.09	231.4	0.07293	0.999846	O95433 Q96D46 P22314 P41252 P08243 P27708 P07814 Q9P2J5 Q06210 P41250 Q8WW22 Q9NR19	0.088106411	0.583333333	Q8WW22	DNAJA4	DNAJA4(12)	0.233283129	0.483069119	0	0.333333333	0	0.447437792
719	12	0.3156	20.83	176.8	0.094	0.998225	O14893 Q9UHI6 P57678 Q8TEQ6 P83369 Q16637 Q8WXD5 Q9NWZ8 Q9Y3F4 Q9H840 Q7Z422 Q9BRS8	0.088106411	0.583333333	Q7Z422	SZRD1	SZRD1(12)	0.416214803	0.553426961	0	0	0.333333333	0.478544166
721	9	0.3039	10.94	178.3	0.05279	0.999853	Q99700 O43390 O43143 Q5VWX1 Q9Y5E9 Q07666 O75525 Q9BUT9 P49788	0.210934144	0.555555556	Q07666	KHDRBS1	KHDRBS1(9)	0.521900228	0.488594884	0.333333333	0	0.111111111	0.649768403
838	16	0.3177	38.13	307.9	0.1009	0.999987	P49750 P23246 Q15424 Q14151 O14979 P35637 Q92841 P22626 P51991 Q92804 Q07666 Q8IXT5 Q9BUJ2 Q15233 P31942 Q13151	1.09E-08	1	P22626	HNRNPA2B1	HNRNPA2B1_2(16)	0.918141197	0.882645424	0.5625	0.125	0	0.732394641
948	7	0.3196	6.712	105.4	0.05323	0.999299	Q8N684 Q8IVL5 O43809 Q92945 Q9HBH9 Q16630 Q8N1G4	0.088106411	0.714285714	Q16630	CPSF6	CPSF6(7)	0.437400436	0.568152432	0.428571429	0	0	0.665019156
